RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.00001,242.0,250.0,235.0,0.03,5.8,67.93,0,RGI60-08.00001
RGI60-08.00002,239.0,246.0,228.0,0.03,5.7,67.87,0,RGI60-08.00002
RGI60-08.00003,726.0,749.0,701.0,0.02,18.8,67.82,0,RGI60-08.00003
RGI60-08.00004,696.0,725.0,671.0,0.02,20.1,67.83,0,RGI60-08.00004
RGI60-08.00005,1268.0,1807.0,926.0,21.469,8.5,67.139,0,RGI60-08.00005
RGI60-08.00006,1399.0,1468.0,1160.0,4.886,7.5,68.083,0,RGI60-08.00006
RGI60-08.00007,1171.0,1215.0,1138.0,0.137,10.2,68.104,0,RGI60-08.00007
RGI60-08.00008,1261.0,1403.0,1153.0,0.531,17.0,68.145,0,RGI60-08.00008
RGI60-08.00009,1394.0,1480.0,1219.0,0.734,16.4,68.118,0,RGI60-08.00009
RGI60-08.00010,1329.0,1423.0,1254.0,0.303,14.2,68.122,0,RGI60-08.00010
RGI60-08.00011,1484.0,1532.0,1434.0,0.374,6.5,68.105,0,RGI60-08.00011
RGI60-08.00012,1120.0,1179.0,1018.0,0.135,19.7,68.567,0,RGI60-08.00012
RGI60-08.00013,1117.0,1263.0,1037.0,1.048,11.3,68.545,0,RGI60-08.00013
RGI60-08.00014,1336.0,1452.0,1162.0,0.563,22.4,67.775,0,RGI60-08.00014
RGI60-08.00015,1352.0,1701.0,1097.0,11.306,7.7,67.135,0,RGI60-08.00015
RGI60-08.00016,1436.0,1833.0,1204.0,0.906,26.2,67.154,0,RGI60-08.00016
RGI60-08.00017,1402.0,1644.0,1279.0,0.808,21.2,67.187,0,RGI60-08.00017
RGI60-08.00018,1376.0,1538.0,1257.0,0.109,31.1,67.227,0,RGI60-08.00018
RGI60-08.00019,1433.0,1636.0,1252.0,1.069,13.3,67.365,0,RGI60-08.00019
RGI60-08.00020,1455.0,1487.0,1329.0,0.133,20.9,67.217,0,RGI60-08.00020
RGI60-08.00021,1371.0,1679.0,1092.0,5.591,11.3,67.41,0,RGI60-08.00021
RGI60-08.00022,1431.0,1655.0,1155.0,0.44,25.4,67.362,0,RGI60-08.00022
RGI60-08.00023,1497.0,1628.0,1320.0,0.286,24.4,67.262,0,RGI60-08.00023
RGI60-08.00024,1379.0,1744.0,1191.0,2.547,13.9,67.302,0,RGI60-08.00024
RGI60-08.00025,1533.0,1598.0,1288.0,0.286,23.6,67.369,0,RGI60-08.00025
RGI60-08.00026,1538.0,1719.0,1312.0,0.88,17.3,67.292,0,RGI60-08.00026
RGI60-08.00027,1477.0,1642.0,1285.0,0.684,19.2,67.298,0,RGI60-08.00027
RGI60-08.00028,1316.0,1426.0,1220.0,0.377,13.3,67.352,0,RGI60-08.00028
RGI60-08.00029,1511.0,1641.0,1282.0,0.425,21.0,67.357,0,RGI60-08.00029
RGI60-08.00030,1419.0,1659.0,1170.0,0.645,24.6,67.508,0,RGI60-08.00030
RGI60-08.00031,1380.0,1524.0,1226.0,1.617,10.7,67.424,0,RGI60-08.00031
RGI60-08.00032,1402.0,1655.0,1162.0,1.811,14.8,67.393,0,RGI60-08.00032
RGI60-08.00033,1454.0,1727.0,1289.0,0.693,15.9,67.313,0,RGI60-08.00033
RGI60-08.00034,1291.0,1458.0,1132.0,0.742,17.1,67.392,0,RGI60-08.00034
RGI60-08.00035,1460.0,1562.0,1333.0,0.437,15.6,67.297,0,RGI60-08.00035
RGI60-08.00036,1637.0,1697.0,1511.0,0.288,21.1,67.315,0,RGI60-08.00036
RGI60-08.00037,1567.0,1894.0,1388.0,1.633,12.9,67.25,0,RGI60-08.00037
RGI60-08.00038,1454.0,1729.0,1277.0,0.822,19.2,67.361,0,RGI60-08.00038
RGI60-08.00039,1363.0,1475.0,1263.0,0.151,25.2,67.21,0,RGI60-08.00039
RGI60-08.00040,1483.0,1867.0,1248.0,3.137,12.0,67.241,0,RGI60-08.00040
RGI60-08.00041,1566.0,1726.0,1436.0,0.541,18.7,67.217,0,RGI60-08.00041
RGI60-08.00042,1514.0,1828.0,1106.0,2.968,12.4,67.258,0,RGI60-08.00042
RGI60-08.00043,1511.0,1696.0,1379.0,0.564,16.0,67.323,0,RGI60-08.00043
RGI60-08.00044,1452.0,1734.0,1338.0,0.452,22.5,67.228,0,RGI60-08.00044
