,zmean,zmax,zmin,area,slope,lat,icecap
RGI60-08.00001,239.03689575195312,250.12054,216.32117,0.03,"0    5.8
Name: Slope, dtype: object",67.93,0
RGI60-08.00002,248.72518920898438,261.11176,238.92146,0.03,"0    5.7
Name: Slope, dtype: object",67.87,0
RGI60-08.00003,734.4646606445312,846.03516,669.1033,0.02,"0    18.8
Name: Slope, dtype: object",67.82,0
RGI60-08.00004,702.8466186523438,799.9226,610.53674,0.02,"0    20.1
Name: Slope, dtype: object",67.83,0
RGI60-08.00005,1179.67041015625,1860.2559,682.8097,21.469,"0    8.5
Name: Slope, dtype: object",67.139,0
RGI60-08.00006,1311.3697509765625,1518.6793,1027.3058,4.886,"0    7.5
Name: Slope, dtype: object",68.083,0
RGI60-08.00007,1189.05810546875,1415.6562,1136.4359,0.137,"0    10.2
Name: Slope, dtype: object",68.104,0
RGI60-08.00008,1275.939697265625,1477.1128,1120.5123,0.531,"0    17
Name: Slope, dtype: object",68.145,0
RGI60-08.00009,1359.328125,1508.5203,1088.9276,0.734,"0    16.4
Name: Slope, dtype: object",68.118,0
RGI60-08.00010,1354.6632080078125,1490.7864,1234.7174,0.303,"0    14.2
Name: Slope, dtype: object",68.122,0
RGI60-08.00011,1471.6988525390625,1554.9066,1352.9707,0.374,"0    6.5
Name: Slope, dtype: object",68.105,0
RGI60-08.00012,1076.620849609375,1232.8314,932.1672,0.135,"0    19.7
Name: Slope, dtype: object",68.567,0
RGI60-08.00013,1104.64697265625,1312.7517,934.68463,1.048,"0    11.3
Name: Slope, dtype: object",68.545,0
RGI60-08.00014,1329.6630859375,1565.7617,1037.4388,0.563,"0    22.4
Name: Slope, dtype: object",67.775,0
RGI60-08.00015,1293.9443359375,1835.2694,908.27783,11.306,"0    7.7
Name: Slope, dtype: object",67.135,0
RGI60-08.00016,1520.5745849609375,1835.4152,1180.5197,0.906,"0    26.2
Name: Slope, dtype: object",67.154,0
RGI60-08.00017,1436.0584716796875,1719.2576,1215.812,0.808,"0    21.2
Name: Slope, dtype: object",67.187,0
RGI60-08.00018,1443.416015625,1634.9376,1214.5302,0.109,"0    31.1
Name: Slope, dtype: object",67.227,0
RGI60-08.00019,1443.5826416015625,1747.6289,1197.4884,1.069,"0    13.3
Name: Slope, dtype: object",67.365,0
RGI60-08.00020,1434.126708984375,1539.5149,1246.8682,0.133,"0    20.9
Name: Slope, dtype: object",67.217,0
RGI60-08.00021,1397.3409423828125,1761.816,1012.0558,5.591,"0    11.3
Name: Slope, dtype: object",67.41,0
RGI60-08.00022,1397.8096923828125,1715.2755,1055.102,0.44,"0    25.4
Name: Slope, dtype: object",67.362,0
RGI60-08.00023,1509.00390625,1785.6038,1243.7118,0.286,"0    24.4
Name: Slope, dtype: object",67.262,0
RGI60-08.00024,1434.343017578125,1796.2312,1068.059,2.547,"0    13.9
Name: Slope, dtype: object",67.302,0
RGI60-08.00025,1469.959716796875,1732.3083,1166.0198,0.286,"0    23.6
Name: Slope, dtype: object",67.369,0
